Œﬂ≤›ƒñºèÃ,TD(m),Çwç¿ïW(m),Çxç¿ïW(m),çÇÇ≥(m),ï˚à (deg),ÀﬂØ¡›∏ﬁ(deg)
652+59.000      ,223,-102158.3693,-10479.04589,55.98,247.8411963,0.859372244
652+58.000      ,224,-102158.7465,-10479.972,55.995,247.8297371,0.859372244
652+57.000      ,225,-102159.124,-10480.89803,56.01,247.818278,0.859372244
652+56.000      ,226,-102159.5016,-10481.82398,56.025,247.8068188,0.859372244
652+55.000      ,227,-102159.8794,-10482.74986,56.04,247.7953596,0.859372244
652+54.000      ,228,-102160.2575,-10483.67566,56.055,247.7839005,0.859372244
652+53.000      ,229,-102160.6357,-10484.60139,56.07,247.7724413,0.859372244
652+52.000      ,230,-102161.014,-10485.52704,56.085,247.7609822,0.859372244
652+51.000      ,231,-102161.3926,-10486.45261,56.1,247.749523,0.859372244
652+50.000      ,232,-102161.7713,-10487.37811,56.115,247.7380639,0.859372244
652+49.000      ,233,-102162.1503,-10488.30354,56.13,247.7266047,0.859372244
652+48.000      ,234,-102162.5294,-10489.22888,56.145,247.7151455,0.859372244
652+47.000      ,235,-102162.9087,-10490.15416,56.16,247.7036864,0.859372244
652+46.000      ,236,-102163.2882,-10491.07935,56.175,247.6922272,0.859372244
652+45.000      ,237,-102163.6679,-10492.00447,56.19,247.6807681,0.859372244
652+44.000      ,238,-102164.0477,-10492.92952,56.205,247.6693089,0.859372244
652+43.000      ,239,-102164.4278,-10493.85448,56.22,247.6578498,0.859372244
652+42.000      ,240,-102164.808,-10494.77938,56.235,247.6463906,0.859372244
652+41.000      ,241,-102165.1884,-10495.70419,56.25,247.6349315,0.859372244
652+40.000      ,242,-102165.569,-10496.62893,56.265,247.6234723,0.859372244
652+39.000      ,243,-102165.9498,-10497.5536,56.28,247.6120131,0.859372244
652+38.000      ,244,-102166.3308,-10498.47819,56.295,247.600554,0.859372244
652+37.000      ,245,-102166.7119,-10499.4027,56.31,247.5890948,0.859372244
652+36.000      ,246,-102167.0933,-10500.32713,56.325,247.5776357,0.859372244
652+35.000      ,247,-102167.4748,-10501.25149,56.34,247.5661765,0.859372244
652+34.000      ,248,-102167.8565,-10502.17577,56.355,247.5547174,0.859372244
652+33.000      ,249,-102168.2384,-10503.09998,56.37,247.5432582,0.859372244
652+32.000      ,250,-102168.6205,-10504.02411,56.385,247.5317991,0.859372244
652+31.000      ,251,-102169.0027,-10504.94816,56.4,247.5203399,0.859372244
652+30.000      ,252,-102169.3852,-10505.87214,56.415,247.5088807,0.859372244
652+29.000      ,253,-102169.7678,-10506.79604,56.43,247.4974216,0.859372244
652+28.000      ,254,-102170.1506,-10507.71987,56.445,247.4859624,0.859372244
652+27.000      ,255,-102170.5336,-10508.64361,56.46,247.4745033,0.859372244
652+26.000      ,256,-102170.9168,-10509.56728,56.475,247.4630441,0.859372244
652+25.000      ,257,-102171.3002,-10510.49088,56.49,247.451585,0.859372244
652+24.000      ,258,-102171.6837,-10511.4144,56.505,247.4401258,0.859372244
652+23.000      ,259,-102172.0675,-10512.33784,56.52,247.4286667,0.859372244
652+22.000      ,260,-102172.4514,-10513.2612,56.535,247.4172075,0.859372244
652+21.000      ,261,-102172.8355,-10514.18449,56.55,247.4057483,0.859372244
652+20.000      ,262,-102173.2198,-10515.1077,56.565,247.3942892,0.859372244
652+19.000      ,263,-102173.6043,-10516.03083,56.58,247.38283,0.859372244
652+18.000      ,264,-102173.989,-10516.95389,56.595,247.3713709,0.859372244
652+17.000      ,265,-102174.3738,-10517.87687,56.61,247.3599117,0.859372244
652+16.000      ,266,-102174.7588,-10518.79977,56.625,247.3484526,0.859372244
652+15.000      ,267,-102175.1441,-10519.7226,56.64,247.3369934,0.859372244
652+14.000      ,268,-102175.5295,-10520.64534,56.655,247.3255342,0.859372244
652+13.000      ,269,-102175.915,-10521.56802,56.67,247.3140751,0.859372244
652+12.000      ,270,-102176.3008,-10522.49061,56.685,247.3026159,0.859372244
652+11.000      ,271,-102176.6868,-10523.41313,56.7,247.2911568,0.859372244
652+10.000      ,272,-102177.0729,-10524.33557,56.715,247.2796976,0.859372244
652+9.000       ,273,-102177.4592,-10525.25793,56.73,247.2682385,0.859372244
652+8.000       ,274,-102177.8457,-10526.18021,56.745,247.2567793,0.859372244
652+7.000       ,275,-102178.2324,-10527.10242,56.76,247.2453202,0.859372244
652+6.000       ,276,-102178.6193,-10528.02455,56.775,247.233861,0.859372244
