,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,切羽からの距離,計測経過日数,沈下量,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,圧縮強度,風化変質,割目間隔,割目状態,割目の方向・平行,湧水量,劣化,評価点,最終沈下量との差分,position_id,補助工法の緒元_bit,増し支保工の緒元_bit,計測条件・状態等_bit,インバートの早期障害_bit,支保工種_numeric,支保パターン2_numeric,pred,mode
2889,2007-11-20,705.0,794.0,STA 646+88,795.545,816.09,20.543999999999983,10,-6.3,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.7999999999999998,2,1,0,0,0,-1,-1,-2.1495000000000015,train
2890,2007-11-22,705.0,794.0,STA 646+88,795.546,822.071,26.524999999999977,12,-6.8,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.2999999999999998,2,1,0,0,0,-1,-1,-1.4974999999999994,train
2891,2007-11-23,705.0,794.0,STA 646+88,795.546,825.808,30.261999999999944,13,-7.9,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.1999999999999993,2,1,0,0,0,-1,-1,-0.4099999999999997,train
2892,2007-11-26,705.0,794.0,STA 646+88,795.546,833.785,38.23899999999992,16,-6.5,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.5999999999999996,2,1,0,0,0,-1,-1,-1.8539999999999979,train
2893,2007-11-28,705.0,794.0,STA 646+88,795.546,848.254,52.70799999999997,18,-7.7,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.39999999999999947,2,1,0,0,0,-1,-1,-0.8640000000000003,train
2894,2007-11-29,705.0,794.0,STA 646+88,795.548,851.879,56.33299999999997,19,-7.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.0,2,1,0,0,0,-1,-1,-1.4209999999999994,train
2895,2007-11-30,705.0,794.0,STA 646+88,795.546,857.6,62.053999999999974,20,-7.8,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.2999999999999998,2,1,0,0,0,-1,-1,-0.6119999999999987,train
2896,2007-12-07,705.0,794.0,STA 646+88,795.547,880.153,84.60699999999997,27,-8.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.0,2,1,0,0,0,-1,-1,-0.19200000000000003,train
2897,2007-11-22,726.0,820.0,STA 646+62,820.659,822.058,1.399000000000001,0,0.0,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-4.5,2,1,0,0,0,-1,-1,-5.147000000000002,train
2898,2007-11-23,726.0,820.0,STA 646+62,820.6565,826.7505,6.091499999999996,1,-1.5,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-3.0,2,1,0,0,0,-1,-1,-4.1065000000000005,train
