ﾎﾟｲﾝﾄ名称,距離(m),形成時代,大区分,岩相
17+34.000       ,136.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+35.000       ,137.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+36.000       ,138.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+37.000       ,139.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+38.000       ,140.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+39.000       ,141.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+40.000       ,142.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+41.000       ,143.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+42.000       ,144.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+43.000       ,145.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+44.000       ,146.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+45.000       ,147.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+46.000       ,148.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+47.000       ,149.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+48.000       ,150.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+49.000       ,151.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+50.000       ,152.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+51.000       ,153.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+52.000       ,154.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+53.000       ,155.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+54.000       ,156.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
